Kupiec F.H.U.,"
41-200 Sosnowiec
ul. Jagiellońska 29
woj.
śląskie
tel. (032) 2923340       "
Marko S.C.,"
NIP : 644-218-55-31

       "
Maruszczyk Damian,"
41-800 Zabrze
ul. 11 Listopada 62a
woj.
śląskie
tel. (032) 2715866       "
Roksana,"
NIP : 648-229-41-89

       "
Chmiel Anna,"
41-800 Zabrze
ul. Budowlana 30e
woj.
śląskie
tel. (032) 2722608       "
Gołąb Andrzej,"
NIP : 648-100-41-95

       "
Logic II F.H. Piontek Anna,"
32-650 Kęty
ul. Krakowska 96a
woj.
śląskie
tel. (033) 8452894 w. 50,52fax. (033) 8452894 w. 50,52       "
Przybył&Dworak S.C.,"
e-mail : abx@mix.plInternet : http://www.abx.mix.plNIP : 547-012-52-79

       "
Duraj Andrzej,"
42-500 Będzin
ul. Rycerska 2/15
woj.
śląskie
tel. (032) 7633291       "
Klima-Cold S.A.,"
e-mail : seth20@plusnet.plosoba do kontaktu : Paweł Błaszczyk

       "
ADG Sp. z o.o. Chłodnictwo-Klimatyzacja,"
41-100 Siemianowice Śląskie
ul. 27 Stycznia 1
woj.
śląskie
tel. (032) 6082754       "
Miglus Marian,"
Internet : http://www.alchem.plNIP : 645-21-97-004

       "
Konsek Bogusław,"
42-600 Tarnowskie Góry
ul. Zagórska 159
woj.
śląskie
tel. (032) 3843232fax. (032) 3843232       "
Haspol Sp. z o.o. Oddział,"
e-mail : alchem@alchem.plInternet : http://www.alchem.plNIP : 645-21-97-004

       "
Janex Janusz Wójcik,"
42-350 Koziegłowy
ul. Cicha 17
woj.
śląskie
tel. (034) 3141499       "
Mostostal Wrocław S.A. Oddział Bytom,"
NIP : 577-137-03-93

       "
Anet,"
44-200 Rybnik
ul. Górnośląska 46
woj.
śląskie
tel. (032) 4227256       "
Gallina P.P.H.U.,"
NIP : 642-000-96-08

       "
Rexona F.H.U.,"
44-200 Rybnik
ul. Zdrzałka 36
woj.
śląskie
tel. (032) 4243280       "
Szoraj,"
NIP : 642-142-45-45

       "
U Ewy,"
44-200 Rybnik
ul. Strażacka 5
woj.
śląskie
tel. (032) 4255710       "
Wimar,"
NIP : 642-040-12-23

       "
Beata,"
44-200 Rybnik
ul. Zamkowa 6
woj.
śląskie
tel. (032) 7558818       "
Hrybik&Hrybik P.H.U.,"
NIP : 642-100-18-33

       "
Styl,"
44-200 Rybnik
ul. Paderewskiego 20b
woj.
śląskie
tel. (032) 4212300       "
Walor P.P.H.U.,"
NIP : 642-10-11-300

       "
Cool-Bem P.P.H.U. Biuro Handlowe,"
44-200 Rybnik
ul. Raciborska 15
woj.
śląskie
tel. (032) 4228285       "
Uniklima Sp.j.,"
NIP : 642-040-45-17

       "
Frigipol Sp. z o.o.,"
43-500 Czechowice-Dziedzice
pl. Wolności 2
woj.
śląskie
tel. (032) 7360354       "
Mini-Max,"
NIP : 652-000-70-69

       "
Avicold Sp.j. Oddział,"
40-555 Katowice
ul. Rolna 43
woj.
śląskie
tel. (032) 2058103       "
Eko-Freon P.P.H.U.,"
NIP : 634-10-01-854

       "
Servo Cool Tychy Sp. z o.o.,"
40-287 Katowice
ul. 1 Maja 28
woj.
śląskie
tel. (032) 2555123       "
Azcol S.C.,"
NIP : 954-102-59-21

       "
Palarczyk Piotr,"
41-922 Bytom
ul. św. Wojciecha 123
woj.
śląskie
tel. (032) 0506917066       "
Fabryka Automatyki Fach S.A.,"
NIP : 645-229-18-26

       "
Mikro Sp. z o.o.,"
41-940 Piekary Śląskie
ul. Wyszyńskiego 6
woj.
śląskie
tel. (032) 3802125       "
Uniprod S.C.,"
NIP : 653-000-39-43

       "
Wenus,"
41-940 Piekary Śląskie
ul. Skłodowskiej-Curie 103
woj.
śląskie
tel. (032) 2884768       "
Artus,"
NIP : 645-103-52-45

       "
Art-Cafe,"
41-940 Piekary Śląskie
ul. Kotuchy 23
woj.
śląskie
tel. (032) 2899485       "
Apteka św. Łukasza,"
NIP : 626-249-43-73

       "
Amar Sp. j.,"
41-707 Ruda Śląska
ul. Brzozowa 4
woj.
śląskie
tel. (032) 2437894       "
Quanto Cafe,"
NIP : 641-001-27-96

       "
Carmen Sp. z o.o.,"
41-706 Ruda Śląska
ul. Energetyków 23
woj.
śląskie
tel. (032) 2426352       "
Mat F.H.,"
NIP : 641-189-59-64

       "
Chemia-Hurt,"
43-200 Pszczyna
ul. Mielęckiego 21
woj.
śląskie
tel. (032) 2101555fax. (032) 4476052       "
Chemia-Hurt,"
e-mail : biuro@janosz.plInternet : http://www.janosz.plNIP : 638-100-61-83

       "
Pietroszek Aniela,"
47-400 Racibórz
ul. Kozielska 5
woj.
śląskie
tel. (032) 4175488fax. (032) 4175487       "
Strzelec,"
e-mail : proxi@box43.plInternet : http://www.proxima-bhp.comNIP : 639-124-49-32

       "
Strzelec,"
42-622 Świerklaniec
ul. Główna 4
woj.
śląskie
tel. (032) 2844549       "
Tront Michał,"
NIP : 645-000-67-96

       "
U Ewy,"
41-922 Radzionków
ul. Wspólna 14
woj.
śląskie
tel. (032) 2895403       "
Wronka F.H.,"
NIP : 626-165-64-06

       "
Andar S.C.,"
42-680 Tarnowskie Góry
ul. Starotarnowicka 38
woj.
śląskie
tel. (032) 2841085       "
Białecka Ewa,"
NIP : 645-101-92-98

       "
Afrodyta S.C.,"
43-110 Tychy
ul. Jasińskiego 8
woj.
śląskie
tel. (032) 2177321       "
Nowax F.H.U.,"
e-mail : saara@autograf.plNIP : 646-032-03-47

       "
Dana,"
43-100 Tychy
ul. Budowlanych 173
woj.
śląskie
tel. (032) 7802319, 2273610fax. (032) 2273610       "
Agawa F.H.U.,"
e-mail :  kalimpex@kalimpex.com.plInternet : http://www.kalimpex.com.plNIP : 646-032-15-71

       "
Jan-Mar P.P.H.U.,"
43-100 Tychy
ul. Biblioteczna 17
woj.
śląskie
tel. (032) 3276061       "
Dax P.H.U.,"
NIP : 646-25-25-786

       "
Błażyca Irena,"
41-700 Ruda Śląska
ul. Szczęść Boże 52
woj.
śląskie
tel. (032) 2436607       "
Anna,"
NIP : 641-104-37-06

       "
Bielsko-Bialskie TBS Sp. z o.o.,"
43-301 Bielsko-Biała
ul. Orzeszkowej 15a
woj.
śląskie
tel. (033) 8116526fax. (033) 8116480       "
Con-Dor A. Sp. z o.o.,"
e-mail : coolbem@pro.onet.plInternet : http://www.cool-bem.plNIP : 547-016-02-64

       "
Nasz Dom SC,"
41-500 Chorzów
ul. Mazurska 14
woj.
śląskie
tel. (032) 2495580       "
Nieruchomości Janicka i S-ka,"
NIP : 627-104-95-47

       "
Olimp Ekspres,"
43-100 Tychy
ul. Kościuszki 50
woj.
śląskie
tel. (032) 2278743       "
Optimum,"
NIP : 646-106-43-66

       "
Orgański Mieczysław,"
42-600 Tarnowskie Góry
ul. Lewka 15
woj.
śląskie
tel. (032) 7688409       "
Perfekt SC,"
NIP : 645-100-72-08

       "
PKP Zakład Nieruchomości,"
41-500 Chorzów
ul. Kościuszki 52
woj.
śląskie
tel. (032) 3482220       "
Scheda,"
NIP : 629-21-77-813

       "
Schott SA,"
42-200 Częstochowa
ul. Mireckiego 31
woj.
śląskie
tel. (034) 3235638       "
System,"
osoba do kontaktu : Bożena Skrzypczak

       "
Akcent SC,"
42-600 Tarnowskie Góry
ul. Nakielska 15
woj.
śląskie
tel. (032) 2858661       "
Misia,"
NIP : 645-100-17-14osoba do kontaktu : Krystyna Markowska

       "
Akademicka SC,"
42-660 Kalety
ul. Sienkiewicza 44
woj.
śląskie
tel. (032) 3577441       "
Books,"
NIP : 575-102-40-67

       "
Dom Książki Sp z oo,"
42-700 Lubliniec
ul. Mickiewicza 33
woj.
śląskie
tel. (034) 3531758       "
Dom Książki Sp z oo,"
NIP : 577-100-43-08

       "
Dom Książki Sp z oo,"
42-200 Częstochowa
ul. Jana III Sobieskiego 54
woj.
śląskie
tel. (034) 3664570       "
Dom Książki Sp z oo,"
NIP : 573-121-49-36

       "
Edycja św. Pawła,"
42-620 Świerklaniec, Nakło
ul. Główna 62
woj.
śląskie
tel. (032) 2843372       "
EMPiK Sp z oo,"
NIP : 645-173-70-88

       "
Imperium,"
44-100 Gliwice
ul. Grodowa 1a
woj.
śląskie
tel. (032) 3313657       "
Iurax,"
NIP : 631-102-31-99

       "
Karska Anna,"
42-400 Zawiercie
ul. 3 Maja 17a
woj.
śląskie
tel. (032) 6721173       "
Kącik,"
NIP : 649-10-92-232

       "
Konkret,"
34-326 Pietrzykowice
ul. Zarębki 4
woj.
śląskie
tel. (033) 8632070       "
Ligia ZH,"
NIP : 553-173-77-01

       "
Locum,"
41-103 Siemianowice Śląskie
ul. Bytomska 39
woj.
śląskie
tel. (032) 2294541       "
Makro-Dom,"
NIP : 643-100-14-15

       "
Metalug,"
41-500 Chorzów
ul. Szabatowskiego 7
woj.
śląskie
tel. (032) 2495202, 2415264fax. (032) 2415264       "
Modus,"
e-mail : adg@adg.plInternet : http://www.adg.pl

       "
Malczes,"
42-287 Babienica, Lubsza
ul. Wolności 34
woj.
śląskie
tel. (034) 3579188       "
Part-Mal FH,"


       "
Reckon,"
44-280 Rydułtowy
ul. Wjazdowa 24
woj.
śląskie
tel. (032) 4576744       "
Euro-Chem PH,"
NIP : 647-109-90-18

       "
Fart SC,"
41-500 Chorzów
ul. Michałkowicka 20
woj.
śląskie
tel. (032) 2459881fax. (032) 2459137       "
Hudziak Urszula i Andrzej SC,"
e-mail : chorzow@haspol.com.plInternet : http://www.haspol.com.pl

       "
Bebel Bogdan Sklep Wielobranżowy,"
41-500 Chorzów
ul. Dąbrowskiego 64a
woj.
śląskie
tel. (032) 2411720       "
Bawimordka S.C.,"
e-mail : janex@chlodnictwo.slask.plInternet : http://www.chlodnictwo.slask.plNIP : 627-161-28-01

       "
Krautol,"
41-902 Bytom
ul. Strzelców Bytomskich 36
woj.
śląskie
tel. (032) 2812871, 2811632fax. (032) 2811632       "
Michalak Lucjan,"
e-mail : TCM2@mostostal.wroc.plInternet : http://www.mostostal.wroc.plNIP : 896-000-01-50

       "
Guzek Adam,"
41-710 Ruda Śląska
ul. Różyckiego 30
woj.
śląskie
tel. (032) 2441068       "
Chanti Żywiecki Zakład Skórzany,"
NIP : 641-100-21-33

       "
Eliza,"
41-706 Ruda Śląska
ul. Solidarności 5
woj.
śląskie
tel. (032) 2421460       "
Kliś Jan,"
NIP : 641-000-50-00

       "
Gemma S.C.,"
41-703 Ruda Śląska
ul. Imieli 4
woj.
śląskie
tel. (032) 2400087       "
Kamel S.C.,"
NIP : 641-125-11-32osoba do kontaktu : Marzena Przybyła

       "
Bar Ogrodowy,"
41-700 Ruda Śląska
ul. Paderewskiego 13a
woj.
śląskie
tel. (032) 2441687       "
Wszystko Dla Domu,"
NIP : 641-100-61-19

       "
Impuls,"
41-706 Ruda Śląska
ul. Solidarności 22
woj.
śląskie
tel. (032) 3406469       "
Alicja,"
NIP : 641-119-47-18

       "
Boc Sp. z o.o.,"
41-100 Siemianowice Śląskie
ul. Reymonta 14
woj.
śląskie
tel. (032) 2290232       "
Abc FHU Import Export,"
NIP : 643-000-68-47

       "
Alf PHU,"
41-100 Siemianowice Śląskie
ul. Jana III Sobieskiego 28
woj.
śląskie
tel. (032) 2290727       "
Alfa Sklep Chemiczny,"
NIP : 643-126-17-60

       "
AN PPUH,"
41-100 Siemianowice Śląskie
ul. Powstańców 13b
woj.
śląskie
tel. (032) 2281813       "
Artchem FHP,"
NIP : 643-150-59-66

       "
Chemik,"
41-100 Siemianowice Śląskie
ul. Stawowa 14c
woj.
śląskie
tel. (032) 2284113       "
Chemik Staromiejski Sklep Chemiczny,"
NIP : 643-139-60-52

       "
Chruściel Danuta PHU,"
41-100 Siemianowice Śląskie
ul. Niepodległości 2
woj.
śląskie
tel. (032) 2282849       "
Edbud FHUP,"
NIP : 643-100-45-95

       "
Pizza Hut,"
40-039 Katowice
ul. Powstańców 19
woj.
śląskie
tel. (032) 7572697fax. (032) 7572697       "
Silesia Sp. z o.o.,"
e-mail : katowice@cool.plInternet : http://www.cool-bem.plNIP : 547-016-02-64

       "
Dom Sp. z o.o.,"
41-200 Sosnowiec
ul. Małobądzka 1
woj.
śląskie
tel. (032) 3606767fax. (032) 3606767       "
Caspol Sp. z o.o. Ekspzytura Cieszyńska Agencja Spedytorska,"
e-mail : biuro@uniklima.com.plInternet : http://www.uniklima.com.plNIP : 644-24-52-392

       "
Caspol Sp. z o.o. Ekspozytura Cieszyńska Agencja Spedytorska,"
42-200 Częstochowa
ul. Michałowskiego 17
woj.
śląskie
tel. (034) 3722054fax. (034) 3722054       "
Caspol Sp. z o.o. Ekspozytura Cieszyńska Agencja Spedytorska,"
e-mail : sprzedaz@frigipol.plInternet : http://www.frigipol.plNIP : 573-001-36-67

       "
Meiller Polska Sp. z o.o.,"
42-200 Częstochowa
ul. Strażacka 4c
woj.
śląskie
tel. (034) 3654348fax. (034) 3654348       "
Masterlink Express Sp z oo,"
NIP : 573-02-42-221

       "
Abako,"
43-400 Bielsko-Biała
ul. Grażyńskiego 14-20
woj.
śląskie
tel. (033) 4975026       "
Megaron,"
Internet : http://www.avicold.com.plNIP : 548-005-51-84

       "
Smakosz,"
43-300 Bielsko-Biała
ul. Jagienki 25
woj.
śląskie
tel. (033) 8184831fax. (033) 8184831       "
Tenia F.H.,"
e-mail : biuro@ekofreon.com.plInternet : http://www.ekofreon.com.plNIP : 547-102-17-02

       "
Wiola P.P.H.U.,"
43-200 Pszczyna
ul. Górnośląska 17
woj.
śląskie
tel. (032) 4470773fax. (032) 4470773       "
Ada F.H.,"
e-mail : biuro@servocool.plInternet : http://www.servocool.plNIP : 646-25-01-449

       "
Amper,"
44-300 Wodzisław Śląski
ul. 26 Marca 18d
woj.
śląskie
tel. (032) 4553240       "
Andrus S.C.,"
NIP : 647-18-06-119

       "
Anna S.C.,"
44-300 Wodzisław Śląski
ul. Pszowska 202a
woj.
śląskie
tel. (032) 4561597       "
Andrus S.C.,"
NIP : 647-102-00-40

       "
Alfa-Tour,"
43-400 Cieszyn
ul. Stawowa 50
woj.
śląskie
tel. (033) 8522580-84fax. (033) 8521085       "
Bobas S.C.,"
e-mail : fach@fach.plInternet : http://www.fach.plNIP : 548-007-62-52

       "
Jubileuszowy,"
41-800 Zabrze
ul. Myśliwska 31
woj.
śląskie
tel. (032) 2761338       "
Chrobak Krzysztof,"
NIP : 648-000-31-30

       "
Heczko Renata,"
41-800 Zabrze
ul. Mickiewicza 44
woj.
śląskie
tel. (032) 2741023       "
Asia F.H.U.,"
NIP : 648-000-48-79

       "
Ema S.C.,"
41-800 Zabrze
ul. Kruczkowskiego 34
woj.
śląskie
tel. (032) 2726090       "
Ewa,"
NIP : 648-113-29-58

       "
Excell S.C.,"
44-240 Żory
ul. Rybnicka 32
woj.
śląskie
tel. (032) 4343528       "
Kisiała Helena,"
NIP : 651-000-26-10

       "
Olimpia,"
44-240 Żory
al. Wojska Polskiego 4
woj.
śląskie
tel. (032) 4351404       "
Moskała Piotr,"
NIP : 647-105-42-92

       "
Foto Omega SC,"
44-240 Żory
ul. Folwarecka 1
woj.
śląskie
tel. (032) 4352019       "
Foto Błysk FU,"
NIP : 651-103-46-06

       "
Główczyńska Leonarda,"
42-500 Będzin
ul. Małobądzka 101
woj.
śląskie
tel. (032) 7615376       "
Grzebielucha Eugeniusz,"
NIP : 625-001-18-64

       "
Komorowscy Sławomir i Joanna,"
43-300 Bielsko-Biała
ul. Lipowa 4
woj.
śląskie
tel. (033) 8229388       "
Noszczyk Irena,"
NIP : 937-209-79-44

       "
"Psiuk Tadeusz, Bogdanowicz Urszula S","
43-385 Jasienica
ul. Strumieńska 829
woj.
śląskie
tel. (033) 8152400       "
Centrum,"
NIP : 937-23-38-579

       "
Janczukowski Andrzej Fotograf,"
43-301 Bielsko Biała
ul. Spółdzielców 50a
woj.
śląskie
tel. (033) 8180830       "
Alfa FHU,"
NIP : 547-008-23-86

       "
Foto-Spółka S.C.,"
44-200 Rybnik
ul. Zebrzydowicka 117c
woj.
śląskie
tel. (032) 4331440fax. (032) 4331446       "
Akcent S.C. Studio Projektowe,"
e-mail : info@chemia-hurt.plInternet : http://www.chemia-hurt.plNIP : 647-051-29-18

       "
Black-Color-Studio Sp. z o.o.,"
44-300 Wodzisław Śląski
ul. Michalskiego 4
woj.
śląskie
tel. (032) 4555377       "
Olaf S.C.,"
Internet : http://www.chemia-hurt.plNIP : 647-051-29-18

       "
Soedcolor Polska Fotofinishing Sp. z o.o. Bytom Oddział,"
44-370 Pszów
ul. Trauguta 51
woj.
śląskie
tel. (032) 4558644       "
Czaf Agencja Fotograficzna,"
NIP : 647-051-28-93

       "
Foto-Jana,"
40-071 Katowice
ul. Rochowiaka 20
woj.
śląskie
tel. (032) 2519693       "
Wiśniewski Marek Zakład Fotograficzny,"
NIP : 634-108-43-66

       "
Sztajner Marian Zakład Fotograficzny,"
41-200 Sosnowiec
ul. Braci Mieroszewskich B7
woj.
śląskie
tel. (032) 2633501       "
Stoń Bożęna Zakład Fotograficzny,"
NIP : 664-050-93-95

       "
Brawczyńska-Wydmuch Lidia,"
44-373 Wodzisław Śląski
ul. Działkowców 30
woj.
śląskie
tel. (032) 4562285       "
ConCept,"
NIP : 647-118-04-82

       "
Coni SC,"
34-325 Łodygowice
ul. Żywiecka 229
woj.
śląskie
tel. (033) 8631576       "
D & D,"
NIP : 553-111-52-18osoba do kontaktu : Ewa Zielińska

       "
Eda SC,"
44-323 Połomia, Mszana
ul. Wolności 54
woj.
śląskie
tel. (032) 4760063       "
Elita PHU,"
NIP : 647-100-25-04osoba do kontaktu : Elżbieta Wronka

       "
Ewa-Pol SC,"
41-200 Sosnowiec
ul. Stawowa 4
woj.
śląskie
tel. (032) 2907200       "
Geoprim SC,"
NIP : 644-27-75-296

       "
Globex Group SC,"
42-436 Pilica
ul. Mickiewicza 23
woj.
śląskie
tel. (032) 6735582       "
Górecka Barbara,"
NIP : 649-103-40-74

       "
Łysak Marcin Usługi Fotograficzne,"
47-400 Racibórz

Rynek 14/13
woj.
śląskie
tel. (032) 4154079       "
Pryzmat SC,"


       "
Boni Bolesława Zakład Fotografii Artystycznej,"
43-200 Pszczyna

Sobieskiego 2
woj.
śląskie
tel. (032) 2112242       "
Video-Foto S.C.,"


       "
Minilab,"
43-200 Pszczyna

Pawia 29, Wisła Mała
woj.
śląskie
tel. (032) 2120129       "
Minilab S.C.,"


       "
Faks-Foto Plus S.C.,"
43-200 Pszczyna

Staromiejska 63
woj.
śląskie
tel. (032) 2108260       "
EMPiK Sp. z o.o.,"


       "
Toy FH,"
43-190 Mikołów

Podleska 14a
woj.
śląskie
tel. (032) 2262037       "
Apland S.C.,"


       "
Foto Studio Expres,"
43-180 Orzesze

Katowicka 24
woj.
śląskie
tel. (032) 2213463       "
Foto KMK SC,"


       "
Foto-Heller Zakład Fotograficzny,"
43-180 Orzesze

Katowicka 7
woj.
śląskie
tel. (032) 2213129       "
Foto-Szu-Studio,"


       "
Gniewek FHU,"
43-170 Łaziska Górne

Kościuszki 111
woj.
śląskie
tel. (032) 2242329       "
Ptak Andrzej Zakład Fotograficzny,"


       "
Studio Expres Foto Color,"
43-300 Bielsko-Biała
ul. Powstańców Śląskich 6
woj.
śląskie
tel. (033) 8150309       "
Chromat SC,"


       "
Foto Expres,"
40-028 Katowice
ul. Francuska 70
woj.
śląskie
tel. (032) 2053365       "
Kama,"
Internet : http://www.condor.com.plNIP : 954-00-25-480

       "
Szóstka SC,"
42-200 Częstochowa

Dąbrowskiego 40/11
woj.
śląskie
tel. (034) 3612817 w. 116       "
Wieczorek Bogdan,"


       "
Wzgórze SC,"
42-200 Częstochowa

Al. Armii Krajowej 8/10
woj.
śląskie
tel. (034) 3681145       "
Yako,"


       "
Za Orłem,"
42-200 Częstochowa

Glogera 3
woj.
śląskie
tel. (034) 3651367       "
Zbijowska Jadwiga,"


       "
Ariadna,"
42-200 Częstochowa

Waszyngtona 47a
woj.
śląskie
tel. (034) 3680626       "
Dziedzictwo,"


       "
Globus,"
42-200 Częstochowa

Kilińskiego 30
woj.
śląskie
tel. (034) 3681489       "
Gryżboń Łukasz,"


       "
Czarnik Genowefa Księgarnia,"
42-200 Częstochowa

Nowowiejskiego 6
woj.
śląskie
tel. (034) 3241775       "
Kram SC,"


       "
